conference,team,player,games,minutes,height_str,role_no_height,role_with_height,role_changed_by_height,top_position,P_PG,P_SG,P_SF,P_PF,P_C,three_rate,ft_rate,pts_per_game,ast_per_game,reb_per_game
Bay Valley,Alameda,Darius Mason,19,51,,Center,Center,False,C,0.0001,0.0,0.0009,0.0513,0.9478,0.0,0.4342,11.79,1.79,8.89
Bay Valley,Alameda,David Thomas,19,18,,Scoring PG,Scoring PG,False,PG,0.6484,0.1272,0.1011,0.0654,0.0579,0.1944,0.4444,2.42,0.89,1.0
Bay Valley,Alameda,Devin Lewis,22,58,,Scoring PG,Scoring PG,False,PG,0.5418,0.121,0.1246,0.1104,0.1023,0.2476,0.4286,6.05,2.18,2.68
Bay Valley,Alameda,Donte Henderson,25,24,,Wing Forward,Wing Forward,False,PG,0.3551,0.0293,0.173,0.224,0.2186,0.0865,0.9231,7.12,1.4,2.32
Bay Valley,Alameda,Esubalow Thomas,6,6,,PF/C,PF/C,False,C,0.143,0.0253,0.0758,0.1849,0.571,0.0,0.25,1.0,0.17,0.17
Bay Valley,Alameda,Isaiah Eisten,5,5,,Wing Guard,Wing Guard,False,SG,0.0154,0.427,0.247,0.2345,0.0761,0.8,0.4,2.2,0.0,2.2
Bay Valley,Alameda,Isaiah Elston,19,25,,Wing Guard,Wing Guard,False,SG,0.0502,0.2884,0.2574,0.2557,0.1483,0.5745,0.3191,2.42,0.16,2.05
Bay Valley,Alameda,James Clay,26,51,,Center,Center,False,C,0.0002,0.0002,0.0033,0.1443,0.852,0.0506,0.6709,4.23,0.62,4.81
Bay Valley,Alameda,Kot Majier Manyiel,23,58,,PF/C,PF/C,False,C,0.0479,0.0404,0.0748,0.3491,0.4878,0.1911,0.6561,9.65,1.35,5.04
Bay Valley,Alameda,Loyal Morris,9,9,,PF/C,PF/C,False,C,0.0006,0.0027,0.0062,0.1448,0.8456,0.0513,0.2564,5.56,0.44,3.33
Bay Valley,Alameda,Lucas Boze,26,54,,Wing Forward,Wing Forward,False,PG,0.3016,0.2424,0.1772,0.1474,0.1313,0.4017,0.4145,13.58,1.88,4.73
Bay Valley,Alameda,Myles De Los Santos Moore,21,20,,PF/C,PF/C,False,C,0.0188,0.0002,0.0106,0.2122,0.7582,0.0179,0.375,2.76,1.71,4.48
Bay Valley,Alameda,Myles Moore,5,5,,PF/C,PF/C,False,C,0.0597,0.0072,0.0539,0.2459,0.6333,0.2,0.6,5.0,1.6,3.2
Bay Valley,Alameda,Oluwafeoiami Onabote,26,57,,Wing Guard,Wing Guard,False,SG,0.0754,0.6237,0.1793,0.0694,0.0521,0.4401,0.2621,15.85,0.88,2.69
Bay Valley,Alameda,Tyrone Lee Gipson,17,17,,Wing Forward,Wing Forward,False,PG,0.4289,0.0913,0.1948,0.1578,0.1272,0.2326,0.5116,3.24,1.06,1.53
WSC North,Allan Hancock,Adam Silmon,25,484,,Wing Guard,Wing Guard,False,SG,0.1485,0.2615,0.1844,0.2038,0.2019,0.2717,0.3478,4.4,0.64,2.72
WSC North,Allan Hancock,Arlind Konjuhi,29,760,,Wing Guard,Wing Guard,False,SG,0.1761,0.6165,0.1452,0.0431,0.0191,0.5934,0.2198,15.34,2.52,2.59
WSC North,Allan Hancock,DD Williams,28,278,,PF/C,PF/C,False,C,0.1005,0.1339,0.1291,0.2435,0.393,0.137,0.3699,3.25,0.5,2.04
WSC North,Allan Hancock,Dasio Gonzales,28,416,,Wing Guard,Wing Guard,False,SG,0.0753,0.7629,0.1324,0.0226,0.0068,0.7763,0.0592,5.36,0.39,1.89
WSC North,Allan Hancock,Eli Jones,25,217,,Scoring PG,Scoring PG,False,PG,0.5977,0.3267,0.0603,0.0115,0.0039,0.7297,0.0946,3.16,0.48,0.88
WSC North,Allan Hancock,Mansour Sanneh,27,319,,PF/C,PF/C,False,C,0.0583,0.0573,0.1156,0.3048,0.4641,0.0833,0.6806,3.78,0.48,1.44
